ranking,valuation,company,key_person,headquarter,industry
1,10000,蚂蚁金服,井贤栋,杭州,互联网金融
2,3000,滴滴出行,程维,北京,互联网服务
2,3000,小米,雷军,北京,智能硬件
4,2000,今日头条,张一鸣,北京,文化娱乐
4,2000,美团点评,王兴,北京,互联网服务
6,1500,腾讯音乐,汤道生,深圳,文化娱乐
7,1000,菜鸟网络,童文红,杭州,物流服务
7,1000,大疆,汪滔,深圳,机器人
7,1000,京东金融,陈生强,北京,互联网金融
7,1000,快手,宿华,北京,文化娱乐
7,1000,陆金所,计葵生,上海,互联网金融
12,800,京东物流,王振辉,北京,物流服务
13,700,比特大陆,吴忌寒,北京,区块链
13,700,拼多多,黄峥,上海,电子商务
15,500,口碑,范驰,杭州,互联网服务
15,500,平安医保科技,高菁,上海,医疗健康
15,500,壹账通,叶望春,上海,互联网金融
18,400,链家,左晖,北京,房产服务
18,400,满帮,王刚,贵阳,物流服务
18,400,神州优车,陆正耀,天津,互联网服务
18,400,微众银行,顾敏,深圳,互联网金融
22,300,北汽新能源,徐和谊,北京,汽车交通
22,300,联影医疗,薛敏,上海,医疗健康
22,300,魅族,黄章,珠海,智能硬件
22,300,柔宇科技,刘自鸿,深圳,智能硬件
22,300,商汤科技,徐立,北京,人工智能
22,300,苏宁金融,张近东,南京,互联网金融
22,300,威马汽车,沈晖,上海,汽车交通
22,300,微医,廖杰远,杭州,医疗健康
22,300,蔚来汽车,李斌,上海,汽车交通
22,300,优必选,周剑,深圳,机器人
32,200,Face++,印奇,北京,人工智能
32,200,ofo,戴威,北京,互联网服务
32,200,VIPKID,米雯娟,北京,在线教育
32,200,车好多,杨浩涌,北京,互联网服务
32,200,大地影院,刘荣,深圳,文化娱乐
32,200,斗鱼,陈少杰,武汉,文化娱乐
32,200,复宏汉霖,刘世高,上海,医疗健康
32,200,汇通达,徐秀贤,南京,电子商务
32,200,嘉楠耘智,张楠赓,杭州,区块链
32,200,酒仙网,郝鸿峰,北京,电子商务
32,200,猫眼微影,王长田,北京,互联网服务
32,200,美菜网,刘传军,北京,电子商务
32,200,美丽联合,陈琪,杭州,电子商务
32,200,奇点汽车,沈海寅,北京,互联网服务
32,200,同程艺龙,吴志祥,苏州,互联网服务
32,200,喜马拉雅,余建军,上海,文化娱乐
32,200,小红书,毛文超,上海,电子商务
32,200,一下科技,韩坤,北京,互联网服务
32,200,易果生鲜,金光磊,上海,电子商务
32,200,银联商务,田林,上海,互联网金融
32,200,自如,左晖,北京,互联网服务
53,100,APUS,李涛,北京,互联网服务
53,100,Pingpong,陈宇,杭州,互联网金融
53,100,爱驰汽车,谷峰,上海,汽车交通
53,100,拜腾汽车,毕福康,南京,汽车交通
53,100,宝宝树,王怀南,北京,互联网服务
53,100,曹操专车,刘金良,杭州,互联网服务
53,100,草根投资,金忠栲,杭州,互联网金融
53,100,车和家,李想,北京,汽车交通
53,100,大搜车,姚军红,北京,互联网服务
53,100,哈罗单车,杨磊,上海,互联网服务
53,100,孩子王,汪建国,南京,电子商务
53,100,寒武纪科技,陈天石,北京,智能硬件
53,100,惠民网,张一春,北京,电子商务
53,100,界面,何力,上海,文化娱乐
