company,investor
蚂蚁金服,春华资本
滴滴出行,腾讯
小米,IDG
今日头条,红杉资本
美团点评,腾讯
腾讯音乐,红杉资本
菜鸟网络,GIC
大疆,Accel
京东金融,红杉资本
快手,红杉资本
陆金所,摩根士丹利
京东物流,高瓴资本
比特大陆,红杉资本
拼多多,腾讯
口碑,阿里巴巴
平安医保科技,IDG
壹账通,未透露
链家,融创
满帮,腾讯
神州优车,云锋投资
微众银行,华平投资
北汽新能源,中国信达
联影医疗,中国人寿
魅族,天音控股
柔宇科技,中信产业基金
商汤科技,鼎晖
苏宁金融,光大控股
威马汽车,远景能源
微医,红杉资本
蔚来汽车,高瓴资本
优必选,启明创投
Face++,启明创投
ofo,顺为资本
VIPKID,云锋基金
车好多,红杉资本
大地影院,阿里影业
斗鱼,红杉资本
复宏汉霖,华盖资本
汇通达,毅达资本
嘉楠耘智,锦江集团
酒仙网,红杉资本
猫眼微影,光线传媒
美菜网,顺为资本
美丽联合,腾讯
奇点汽车,光信资本
同程艺龙,万达
喜马拉雅,SIG
小红书,腾讯
一下科技,新浪
易果生鲜,阿里巴巴
银联商务,光际资本
自如,华平投资
APUS,SIG
Pingpong,广发信德
爱驰汽车,未透露
拜腾汽车,一汽集团
宝宝树,千合资本
曹操专车,未透露
草根投资,顺为资本
车和家,利欧股份
大搜车,晨兴资本
哈罗单车,纪源资本
孩子王,华平投资
寒武纪科技,国投创业
惠民网,西部优势资本
界面,昆仑信托
金山云,IDG
拉卡拉,君联资本
驴妈妈,红杉资本
芒果TV,联新资本
每日优鲜,光信资本
蜜芽,百度
齐家网,鼎晖投资
趣头条,腾讯
苏宁体育,高盛
淘票票,蚂蚁金服
天下秀,新浪
途家网,携程
土巴兔,红杉资本
团贷网,民生资本
微店,腾讯
微鲸,腾讯
小鹏汽车,晨兴资本
信达生物,国投创新
依图科技,云锋基金
亿邦国际,未透露
英雄互娱,华谊兄弟
优客工场,中投汉富
云从科技,顺为资本
找钢网,IDG
猪八戒网,赛伯乐
阿里体育,云锋基金
安能物流,红杉资本
达达-京东到家,红杉资本
丰巢科技,顺丰速运
好大夫在线,挚信资本
华云数据,SIG
罗计物流,IDG
纳恩博,红杉资本
网易云音乐,SMG
微贷网,中信建投
易生金服,海航旅游
悦畅科技,万达
51信用卡,SIG
58到家,阿里巴巴
DotC United,高榕资本
iTutorGroup,启明创投
贝贝网,IDG
春雨医生,蓝驰创投
返利网,SIG
房多多,嘉御基金
沪江,汉能投资
罗辑思维,顺为资本
魔方公寓,中航信托
诺禾致源,招银国际
人人贷,挚信资本
首汽约车,百度资本
数梦工厂,阿里巴巴
碳云智能,天府集团
腾云天下,软银中国
途虎养车,高瓴资本
万能钥匙,海通开元
网易有道,君联资本
我买网,IDG
洋码头,远镜创投
要出发,众信旅游
映客,多米在线
云知声,启明创投
知乎,今日资本
V领地,华平投资
爱屋吉屋,淡马锡
奥比中光,蚂蚁金服
波奇网,高盛
车猫二手车,浙富控股
车易拍,北汽产业投资
车置宝,九鼎资本
触宝科技,启明创投
点融网,老虎环球基金
丁香园,顺为资本
纷享销客,DCM
富途证券,红杉资本
基石药业,GIC
集奥聚合,金沙江创投
玖富,晨兴资本
卷皮,天图资本
辣妈帮,经纬中国
人人车,高盛
神州细胞工程,启明创投
同盾科技,IDG
微盟,华映资本
小猪短租,愉悦资本
一点资讯,凤凰
一起作业,真格基金
优刻得,DCM
有利网,高瓴资本
猿辅导,IDG
越海全球,涌铧投资
云鸟科技,华平投资
执御信息,红杉资本
智米科技,顺为资本
转转,腾讯
作业帮,纪源资本
蚂蚁金服,中投海外
滴滴出行,阿里巴巴
小米,启明创投
今日头条,海纳亚洲
美团点评,红杉资本
菜鸟网络,淡马锡
大疆,红杉资本
京东金融,嘉实投资
快手,晨兴资本
陆金所,中银集团
京东物流,红杉中国
比特大陆,IDG
拼多多,红杉资本
口碑,鼎晖投资
平安医保科技,思佰益
链家,万科
满帮,红杉资本
神州优车,中金公司
微众银行,淡马锡
北汽新能源,中冀投资
联影医疗,国投创新
魅族,阿里巴巴
柔宇科技,基石资本
商汤科技,IDG
苏宁金融,深创投
威马汽车,红杉资本
微医,高盛资本
蔚来汽车,腾讯
优必选,科大讯飞
Face++,联想之星
ofo,经纬中国
VIPKID,红杉资本
车好多,今日资本
斗鱼,腾讯
汇通达,紫金资本
嘉楠耘智,暾澜资本
酒仙网,东方富海
猫眼微影,美团
美菜网,蓝湖资本
美丽联合,启明创投
奇点汽车,奇虎360
同程艺龙,腾讯
喜马拉雅,Sierra Ventures
小红书,Genesis
一下科技,红点创投
易果生鲜,高盛集团
银联商务,云熠投资
自如,红杉资本
APUS,成为资本
Pingpong,清华控股
拜腾汽车,启迪控股
宝宝树,经纬中国
草根投资,华闻传媒
车和家,源码资本
大搜车,红杉资本
哈罗单车,磐谷创投
孩子王,景林投资
寒武纪科技,阿里巴巴
惠民网,中合担保
金山云,金山软件
拉卡拉,富鑫国际
驴妈妈,鼎晖创投
芒果TV,上海国和
每日优鲜,腾讯
蜜芽,红杉资本
齐家网,百度
趣头条,尚珹资本
淘票票,鼎晖投资
天下秀,软银赛富
途家网,纪源资本
土巴兔,经纬中国
微店,华平资本
微鲸,华人文化产业基金
小鹏汽车,IDG
信达生物,君联资本
依图科技,红杉资本
英雄互娱,红杉资本
优客工场,真格基金
云从科技,元禾原点
找钢网,经纬中国
猪八戒网,IDG
阿里体育,太平资产
安能物流,凯雷投资
达达-京东到家,DST
丰巢科技,鼎晖投资
好大夫在线,崇德投资
华云数据,Intel Capital
罗计物流,真格基金
纳恩博,小米
微贷网,汉鼎股份
易生金服,H-capital
悦畅科技,经纬中国
51信用卡,天图资本
58到家,KKR
DotC United,光速中国
iTutorGroup,GIC
贝贝网,北极光创投
春雨医生,贝塔斯曼
返利网,启明创投
房多多,光速中国
沪江,软银
罗辑思维,启明创投
魔方公寓,华平投资
诺禾致源,国投创新
人人贷,东方弘道
首汽约车,蔚来资本
数梦工厂,银杏谷资本
碳云智能,鑫根资本
腾云天下,麦顿投资
途虎养车,启明创投
万能钥匙,北极光创投
我买网,赛富基金
洋码头,赛富基金
要出发,金鼎投资
映客,金沙江创投
云知声,高通
知乎,启明创投
爱屋吉屋,高瓴资本
奥比中光,赛富投资
波奇网,集富亚洲
车猫二手车,元璟资本
车易拍,经纬中国
车置宝,毅达资本
触宝科技,华盖资本
点融网,北极光创投
丁香园,DCM
纷享销客,北极光创投
富途证券,经纬中国
基石药业,红杉资本
集奥聚合,新浪
玖富,DCM
卷皮,招银国际
辣妈帮,晨兴创投
人人车,腾讯
同盾科技,华创资本
微盟,海航资本
小猪短租,贝塔斯曼
一点资讯,小米
一起作业,顺为资本
优刻得,贝塔斯曼
有利网,晨兴资本
猿辅导,经纬中国
越海全球,汇能金融
云鸟科技,红杉资本
执御信息,君联资本
智米科技,GIC
作业帮,H Capital
蚂蚁金服,红杉资本
滴滴出行,红杉资本
小米,晨兴资本
今日头条,建银资本
美团点评,今日资本
菜鸟网络,春华资本
大疆,麦星投资
京东金融,中国太平
快手,百度
陆金所,国泰君安（香港）
京东物流,腾讯
拼多多,IDG
口碑,银湖资本
平安医保科技,软银海外
链家,腾讯
满帮,光速中国
北汽新能源,国轩投资
魅族,海通开元
柔宇科技,IDG
商汤科技,中金公司
微医,腾讯
蔚来汽车,红杉资本
优必选,鼎晖投资
Face++,建银国际
ofo,滴滴出行
VIPKID,真格基金
车好多,IDG
斗鱼,南山资本
汇通达,顺为资本
猫眼微影,腾讯
美菜网,真格基金
美丽联合,IDG
同程艺龙,中信资本
喜马拉雅,前海兴旺
小红书,真格基金
一下科技,红杉资本
银联商务,IDG
自如,腾讯
APUS,启明创投
Pingpong,Fidelity
拜腾汽车,宁德时代
宝宝树,晨山资本
车和家,明势资本
大搜车,阿里巴巴
哈罗单车,愉悦资本
孩子王,高瓴资本
寒武纪科技,联想创投
金山云,小米
拉卡拉,晨兴资本
驴妈妈,江南资本
芒果TV,厦门建发
每日优鲜,浙商创投
蜜芽,真格基金
趣头条,顺为资本
淘票票,新浪
天下秀,摩根士丹利
途家网,启明创投
土巴兔,58同城
微店,经纬中国
小鹏汽车,经纬中国
信达生物,淡马锡
依图科技,真格基金
英雄互娱,真格基金
优客工场,红杉资本
云从科技,前海兴旺
找钢网,红杉资本
安能物流,高盛
达达-京东到家,京东
丰巢科技,国开金融
好大夫在线,DCM中国
华云数据,海通开元
纳恩博,顺为资本
微贷网,盛大资本
悦畅科技,SIG
51信用卡,嘉实投资
58到家,平安创投
DotC United,晨兴资本
iTutorGroup,高盛
贝贝网,今日资本
春雨医生,中金公司
返利网,乐天
房多多,鼎晖创投
沪江,顺为资本
罗辑思维,真格基金
魔方公寓,德同资本
诺禾致源,方和资本
人人贷,弘合基金
腾云天下,北极光创投
途虎养车,君联资本
我买网,百度
洋码头,上海国际
要出发,红杉资本
映客,紫辉创投
知乎,腾讯
爱屋吉屋,晨兴资本
奥比中光,松禾资本
波奇网,点亮资本
车易拍,晨兴资本
触宝科技,红杉资本
点融网,GIC
丁香园,腾讯
纷享销客,IDG
富途证券,腾讯
基石药业,云锋基金
集奥聚合,亚信联创
玖富,SIG
卷皮,浙江金控
人人车,滴滴
同盾科技,宽带资本
微盟,FTZ Fund
小猪短租,君联资本
一点资讯,IDG
一起作业,老虎基金
优刻得,君联资本
有利网,软银中国
猿辅导,腾讯
越海全球,磐石资本
云鸟科技,经纬中国
执御信息,鼎晖投资
作业帮,红杉资本
滴滴出行,经纬中国
小米,顺为资本
美团点评,IDG
快手,腾讯
链家,经纬中国
满帮,高瓴资本
微医,启明创投
蔚来汽车,IDG
优必选,腾讯
Face++,蚂蚁金服
ofo,真格基金
VIPKID,腾讯
车好多,经纬中国
美丽联合,红杉资本
一下科技,晨兴资本
哈罗单车,蚂蚁金服
小鹏汽车,顺为资本
信达生物,高瓴资本
依图科技,高瓴资本
找钢网,真格基金
罗辑思维,红杉资本
途虎养车,红杉资本
爱屋吉屋,顺为资本
纷享销客,高瓴资本
人人车,顺为资本
同盾科技,启明创投
小猪短租,晨兴资本
美团点评,高瓴资本
微医,高瓴资本
蔚来汽车,顺为资本
VIPKID,经纬中国
小鹏汽车,阿里巴巴
罗辑思维,腾讯
