ranking,valuation,company,key_person,headquarter,industry
1,1000,Ant Financial,Jing Xiandong,Hangzhou,Online finance
2,300,Didi Chuxing,Cheng Wei,Beijing,Internet service
2,300,Xiaomi,Lei Jun,Beijing,Intelligent hardware
4,200,Toutiao,Zhang Yiming,Beijing,Entertainment
4,200,Meituan Dianping,Wang Xing,Beijing,Internet service
6,150,Tencent Music,Tang Daosheng,Shenzhen,Entertainment
7,100,Cainiao,Tong Wenhong,Hangzhou,Logistics service
7,100,DJI,Wang Tao,Shenzhen,Robot
7,100,JD Finance,Chen Shengqiang,Beijing,Online finance
7,100,Kuaishou,Su Hua,Beijing,Entertainment
7,100,Lufax,Ji Kuisheng,Shanghai,Online finance
12,80,JD Logistics,Wang Zhenhui,Beijing,Logistics service
13,70,Bitmain,Wu Jihan,Beijing,Blockchain
13,70,Pinduoduo,Huang Zheng,Shanghai,E-commerce
15,50,Koubei,Fan Chi,Hangzhou,Internet service
15,50,Ping An Healthcare Technology,Gao Jing,Shanghai,Medical treatment and health
15,50,OneConnect,Ye Wangchun,Shanghai,Online finance
18,40,Homelink,Zuo Hui,Beijing,Property service
18,40,Manbang,Wang Gang,Guiyang,Logistics service
18,40,UCAR,Lu Zhengyao,Tianjin,Internet service
18,40,WeBank,Gu Min,Shenzhen,Online finance
22,30,BJEV,Xu Heyi,Beijing,Motor traffic
22,30,United Imaging,Xue Min,Shanghai,Medical treatment and health
22,30,Meizu,Huang Zhang,Zhuhai,Intelligent hardware
22,30,Royole,Liu Zihong,Shenzhen,Intelligent hardware
22,30,SenseTime,Xu Li,Beijing,Artificial intelligence
22,30,Suning Finance,Zhang Jindong,Nanjing,Online finance
22,30,WM Motor,Shen Hui,Shanghai,Motor traffic
22,30,We Doctor,Liao Jieyuan,Hangzhou,Medical treatment and health
22,30,NextEV,Li Bin,Shanghai,Motor traffic
22,30,Ubtech,Zhou Jian,Shenzhen,Robot
32,20,Face++,Yin Qi,Beijing,Artificial intelligence
32,20,ofo,Dai Wei,Beijing,Internet service
32,20,VIPKID,Mi Wenjuan,Beijing,Online education
32,20,Cars,Yang Haoyong,Beijing,Internet service
32,20,Dadi Digital Cinema,Liu Rong,Shenzhen,Entertainment
32,20,Douyu,Chen Shaojie,Wuhan,Entertainment
32,20,Henlius,Liu Shigao,Shanghai,Medical treatment and health
32,20,Huitongda,Xu Xiuxian,Nanjing,E-commerce
32,20,Canaan,Zhang Nangeng,Hangzhou,Blockchain
32,20,JiuXian,Hao Hongfeng,Beijing,E-commerce
32,20,Maoyan,Wang Changtian,Beijing,Internet service
32,20,Meicai,Liu Chuanjun,Beijing,E-commerce
32,20,Meili,Chen Qi,Hangzhou,E-commerce
32,20,Singulato,Shen Haiyin,Beijing,Internet service
